,Origin (UTC),Country,Lat,Long,Depth (km),Magnitude,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths,MaxDeaths
475,22-07-80 05:17,Iran ,37.322,50.262,25,5.5 Mw ,1,1,1,,,1
476,23-09-80 19:10,Japan ,35.997,139.74,82.7,5.3 Mw ,1,1,,2,,2
477,07-03-81 11:34,Greece ,38.181,23.335,37.1,5.4 Mw ,1,1,1,,,1
478,13-06-81 07:29,Afghanistan ,36.198,67.836,21,5.6 Mw ,1,1,1,,,1
479,16-11-82 23:41,Albania ,40.78,19.666,21.9,5.6 Mw ,1,1,1,1,,1
480,15-03-83 17:27,Japan ,34.797,137.58,34.5,5.4 Mw ,1,1,,,,1
481,03-04-83 02:50,Costa Rica ,8.721,-83.078,25,7.4 Mw ,1,6,1,10,,10
482,08-08-83 03:47,Japan ,35.507,139.045,18.1,5.6 Mw ,1,1,1,1,,1
483,08-11-83 00:49,Belgium ,50.696,5.346,10,4.9 ML ,1,2,1,2,,2
484,01-02-84 14:22,Afghanistan ,34.564,70.446,9,6.1 Mw ,1,1,1,1,,1
485,02-02-85 20:52,Iran ,28.352,52.972,13.8,5.4 Mw ,1,1,1,1,,1
486,29-03-85 11:15,China ,29.35,104.953,35,4.9 mb ,1,1,2,,,2
487,10-05-85 15:35,Papua New Guinea ,-5.601,151.056,47.2,7.2 Mw ,1,1,1,,,1
488,25-12-85 02:38,Italy ,37.688,15.068,10,4.3 mb ,1,1,1,,,1
489,11-01-86 19:42,Peru ,-9.512,-77.437,56.7,5.1 Mw ,1,1,1,1,,1
490,20-05-86 05:25,Taiwan ,24.146,121.643,15.8,6.2 Mw ,1,1,1,,,1
491,06-06-86 10:39,Turkey ,38.007,37.91,22.5,5.8 Mw ,1,1,1,,,1
492,12-07-86 07:54,Iran ,29.911,51.557,5.4,5.7 Mw ,1,1,1,1,,1
493,26-01-87 11:11,Algeria ,35.919,1.387,11.7,4.9 mb ,1,1,1,1,,1
494,05-03-87 09:17,Chile ,-24.395,-70.1,46.3,7.5 Mw ,1,1,1,,,1
495,18-03-87 03:36,Japan ,32.051,131.785,54,6.6 Mw ,1,2,1,,,2
496,18-05-87 07:27,Philippines ,8.267,125.324,19.1,6.2 Mw ,1,1,1,,,1
497,23-05-87 17:09,Philippines ,8.023,125.479,22.4,5.7 Mw ,1,1,1,,,1
498,13-08-87 15:23,Peru ,-17.9,-70.909,37.6,6.5 Mw ,1,1,1,,,1
499,20-07-88 23:15,Taiwan ,23.986,121.679,51,5.9 Mw ,1,1,1,,,1
500,11-08-88 16:04,Iran ,29.886,51.655,11,6.0 Mw ,1,1,1,,,1
501,19-02-89 12:27,Japan ,36.038,139.86,45.4,5.5 Mw ,1,1,,,,1
502,07-05-89 00:38,China ,23.538,99.519,25.4,5.6 Mw ,1,1,1,,,1
503,12-06-89 00:04,Bangladesh ,21.927,89.872,20,5.8 Mw ,1,1,1,1,,1
504,03-08-89 07:42,Russian Federation ,43.536,45.355,35,5.1 Mw ,1,1,1,,,1
505,08-08-89 08:13,United States ,37.134,-121.925,15,5.4 ML ,1,1,1,,,1
506,15-12-89 18:43,Philippines ,8.365,126.686,24,7.5 Mw ,1,1,2,,,2
507,26-03-90 22:47,Philippines ,9.283,125.564,51.1,5.9 Mw ,1,1,1,,,1
508,09-06-90 01:14,Peru ,-6.1,-77.133,23.5,5.5 Mw ,1,1,1,,,1
509,14-06-90 12:47,Kazakhstan ,47.877,85.064,36,6.6 Mw ,1,1,3,1,,3
510,20-10-90 08:07,China ,37.096,103.718,8,5.7 Mw ,1,1,2,1,,2
511,15-11-90 02:34,Indonesia ,3.939,97.405,30,6.7 Mw ,1,1,7,1,,7
512,21-12-90 06:57,Greece ,40.977,22.346,13,6.1 Mw ,1,1,1,1,,1
513,22-12-90 17:27,Costa Rica ,9.982,-84.229,11.1,5.9 Mw ,1,2,1,1,,2
514,24-04-91 10:54,Turkey ,39.613,41.169,35,4.5 mb ,1,1,1,,,1
515,28-06-91 14:43,United States ,34.237,-118.011,11,5.6 Mw ,1,2,1,2,,2
516,28-11-91 17:19,Iran ,36.826,49.582,18.4,5.6 Mw ,1,1,1,,,1
517,28-06-92 11:57,United States  ,34.19,-116.52,15,7.3 Mw ,1,3,1,1,,3
518,08-09-92 00:38,Iran ,29.132,52.147,26.8,5.2 mb ,1,1,1,,,1
519,18-10-92 15:11,Colombia ,7.093,-76.764,3.5,7.1 Mw ,1,11,11,,,11
520,23-10-92 23:19,Georgia ,42.561,45.096,16,6.4 Mw ,1,1,1,1,,1
521,18-12-92 11:21,China ,26.328,100.752,21.8,5.0 mb ,1,1,1,,,1
522,13-01-93 17:11,Jamaica ,18.052,-76.594,14.2,5.5 Mw ,1,1,1,,,1
523,10-07-93 20:40,Costa Rica ,9.824,-83.612,16.5,5.8 Mw ,1,2,1,3,,3
524,10-09-93 19:12,Mexico ,14.758,-92.646,34,7.2 Mw ,1,1,1,,,1
525,21-09-93 03:28,United States ,42.305,-122.004,11,6.0 Mw ,1,2,1,,,2
526,05-06-94 01:09,Taiwan ,24.455,121.85,11,6.3 Mw ,1,1,1,,,1
527,09-06-94 00:33,Bolivia  ,-13.86,-67.512,631,8.2 Mw ,1,5,10,0,,10
528,16-09-94 06:20,Taiwan  ,22.555,118.719,13,6.7 Mw ,1,1,5,1,,5
529,08-10-94 21:44,Indonesia ,-1.206,127.98,17,6.8 Mw ,1,1,1,1,,1
530,21-05-95 06:13,Indonesia ,-8.288,122.944,26.4,5.2 Mw ,1,1,1,,,1
531,29-04-96 14:40,Papua New Guinea ,-6.518,155.116,38,7.2 Mw ,1,1,1,,,1
532,09-10-96 13:10,Cyprus ,34.562,32.143,22,6.8 Mw ,1,2,2,,,2
533,11-01-97 20:28,Mexico ,18.193,-102.795,35,7.1 Mw ,1,1,1,1,,1
534,13-05-97 11:42,Iran ,33.399,59.88,11.6,4.5 mb ,1,1,1,,,1
535,13-05-97 14:13,Afghanistan ,36.467,70.968,196,6.4 Mw ,1,1,,,,1
536,20-02-98 12:18,Afghanistan ,36.479,71.074,236,6.3 Mw ,1,1,1,1,,1
537,09-09-98 11:27,Italy ,40,15.975,10,5.6 Mw ,1,2,1,,,2
538,28-09-98 13:34,Indonesia ,-8.177,112.34,151.6,6.5 Mw ,1,1,1,,,1
539,21-02-99 18:14,Russian Federation ,43.262,46.909,41.9,5.3 Mw ,1,1,1,1,,1
540,04-03-99 05:38,Iran ,28.271,57.207,27.7,6.6 Mw ,1,1,1,1,,1
541,03-04-99 06:17,Peru ,-16.602,-72.518,85,6.8 Mw ,1,1,1,,,1
542,11-07-99 14:14,Guatemala ,15.791,-88.285,15,6.7 Mw ,1,2,1,,,2
543,10-08-99 19:33,Iran ,36.157,54.648,20,4.5 mb ,1,1,1,,,1
544,31-08-99 08:10,Turkey ,40.767,29.912,8.4,5.1 Mw ,1,1,1,1,,1
545,29-09-99 00:13,Turkey ,40.736,29.35,7.6,5.2 Mw ,1,1,1,,,1
546,22-10-99 02:18,Taiwan ,23.531,120.443,14,5.8 Mw ,1,1,1,1,,1
547,11-11-99 14:41,Turkey ,40.74,30.247,10,5.6 Mw ,1,2,1,3,,3
548,24-11-99 16:40,China ,24.586,102.845,15,5.0 ML ,1,1,1,,,1
549,03-12-99 17:06,Turkey ,40.482,42.354,6.4,5.7 Mw ,1,1,1,,,1
550,11-12-99 18:03,Philippines ,15.779,119.776,40,7.2 Mw ,1,5,1,6,,6
551,15-12-99 05:12,Philippines ,11.296,124.516,16.2,4.8 mb ,1,1,,,,1
552,02-02-00 22:58,Iran ,35.238,58.213,22.7,5.3 Mw ,1,1,1,1,,1
553,07-06-00 23:45,Indonesia ,-4.651,101.848,32,6.7 Mw ,1,1,1,,,1
554,21-08-00 13:25,China ,25.726,102.24,5.4,4.9 mb ,1,1,1,1,,1
555,20-09-00 08:37,Ecuador ,-1.946,-80.522,40,5.5 Mw ,1,1,1,,,1
556,16-11-00 04:54,Papua New Guinea ,-3.996,152.268,27.6,8.0 Mw ,1,2,2,1,,2
557,17-02-01 20:25,El Salvador  ,13.787,-89.106,10,5.1 mb ,1,1,1,,,1
558,07-07-01 09:38,Peru ,-17.532,-71.931,14.1,7.6 Mw ,1,1,1,,,1
559,24-07-01 05:00,Chile ,-19.558,-69.234,13.4,6.3 Mw ,1,1,1,,,1
560,27-10-01 05:35,China ,26.289,100.586,5.8,5.5 Mw ,1,1,1,1,,1
561,10-01-02 11:14,Papua New Guinea ,-3.264,142.447,11,6.7 Mw ,1,1,1,1,,1
562,21-01-02 14:34,Turkey ,38.633,27.887,27.5,4.8 ML ,1,1,,,,1
563,17-02-02 13:03,Iran ,28.089,51.792,16.4,5.3 Mw ,1,1,1,1,,1
564,24-04-02 10:51,Serbia ,42.42,21.533,8,5.7 Mw ,1,1,1,1,,1
565,15-05-02 03:46,Taiwan ,24.668,121.868,16.7,6.1 Mw ,1,1,1,,,1
566,27-01-03 05:26,Turkey ,39.503,39.851,16.1,6.0 Mw ,1,1,1,1,,1
567,29-03-03 11:46,Afghanistan ,35.907,70.55,110,5.8 Mw ,1,1,1,,,1
568,26-05-03 19:23,Indonesia ,2.349,128.879,31,6.9 Mw ,1,1,1,1,,1
569,24-06-03 13:01,Iran ,33.024,49.463,15,4.6 mb ,1,1,1,,,1
570,10-07-03 17:06,Iran ,28.311,54.165,8,5.7 Mw ,1,1,1,1,,1
571,22-09-03 04:45,Dominican Republic ,19.766,-70.693,14,6.4 Mw ,1,3,1,3,,3
572,13-11-03 02:35,China ,34.713,103.865,35,5.1 Mw ,1,1,1,1,,1
573,18-11-03 17:14,Philippines ,12.113,125.416,35,6.5 Mw ,1,1,1,,,1
574,01-01-04 20:59,Indonesia ,-8.349,115.758,45.4,5.8 Mw ,1,1,,1,,1
575,08-05-04 20:11,Pakistan ,30.167,67.068,35,4.5 mb ,1,1,,,,1
576,18-07-04 04:22,New Zealand ,-38.013,176.432,2.4,5.4 Mw ,1,1,,,,1
577,30-07-04 07:14,Turkey ,39.69,43.935,20,4.8 mb ,1,1,,,,1
578,11-08-04 15:48,Turkey ,38.347,39.232,4.5,5.6 Mw ,1,1,,,,1
579,07-09-04 11:53,Argentina ,-28.568,-65.85,13,6.1 Mw ,1,1,,,,1
580,15-09-04 08:35,Indonesia ,-8.784,115.325,96.7,5.3 Mw ,1,1,,,,1
581,21-11-04 11:41,Guadeloupe ,15.679,-61.724,14,6.3 Mw ,1,1,,1,,1
582,01-12-04 23:17,Indonesia ,-3.689,135.604,7.2,5.5 Mw ,1,1,,,,1
583,23-01-05 20:10,Indonesia ,-1.196,119.91,38.1,6.2 Mw ,1,1,,1,,1
584,02-02-05 05:55,Indonesia ,-7.004,107.816,57.2,4.8 mb ,1,1,,,,1
585,20-03-05 01:53,Japan  ,33.802,130.209,10.7,6.6 Mw ,1,1,,1,,1
586,04-06-05 14:50,Papua New Guinea ,-6.355,146.846,44,6.1 Mw ,1,1,,1,,1
587,25-07-05 15:43,China ,46.884,125.03,43.3,5.0 Mw ,1,1,,,,1
588,27-10-05 11:18,China ,23.604,107.798,10,4.2 mb ,1,1,,,,1
589,08-11-05 07:54,Vietnam ,9.973,108.226,14.7,5.3 Mw ,1,1,,,,1
590,14-12-05 07:09,India ,30.46,79.201,35.5,5.1 Mw ,1,1,,,,1
591,10-03-06 07:50,Pakistan ,33.129,73.887,10,4.9 Mw ,1,1,,,,1
592,25-03-06 07:28,Iran ,27.574,55.685,18,5.9 Mw ,1,1,,,,1
593,25-08-06 05:51,China ,28.012,104.151,21,5.0 Mw ,1,1,,,,1
594,29-09-06 18:23,Venezuela ,10.814,-61.758,52,5.5 Mw ,1,1,,,,1
595,25-03-07 00:41,Japan  ,37.34,136.54,8,6.7 Mw ,1,1,,1,,1
596,26-10-07 06:50,Pakistan ,35.304,76.753,10,5.2 Mw ,1,1,,,,1
597,06-11-07 09:38,India ,21.181,70.724,10,5.1 Mw ,1,1,,,,1
598,07-11-07 04:12,Philippines ,9.721,124.647,71,5.3 Mw ,1,1,,,,1
599,29-11-07 19:00,Martinique ,14.944,-61.274,156,7.4 Mw ,1,1,,,,1
600,09-12-07 02:03,Brazil ,-15.048,-44.231,10,4.9 mb ,1,1,,,,1
601,09-01-08 22:24,Algeria ,35.616,-0.57,10,4.6 Mb ,1,1,,,,1
602,22-01-08 17:14,Indonesia ,1.011,97.442,20,6.2 Mw ,1,1,,,,1
603,06-02-08 06:09,India ,23.433,87.111,10,4.3 mb ,1,1,,,,1
604,14-02-08 02:07,Rwanda ,-2.404,28.918,10,5.3 Mw ,1,1,,,,1
605,09-09-69 05:15,Japan ,35.786,137.093,7.5,6.0 Ms ,0,0,1,,,1
606,31-05-70 20:23,Peru  ,-9.248,-78.84,73,7.9 Muk ,0,70000,66794,66794,,70000
607,14-07-71 06:11,Papua New Guinea ,-5.519,153.906,44.5,8.0 Mw ,0,1,2,,,2
608,15-09-76 09:21,Italy ,46.354,13.087,9.7,5.9 Ms ,0,0,2,,,2
609,21-04-77 04:24,Solomon Islands ,-10.009,160.816,45.1,7.3 Mw ,0,18,18,,,18
610,02-07-79 16:30,India ,34.525,74.291,35,4.5 mb ,0,3,,,,3
611,24-01-80 19:00,United States ,37.712,-121.728,15,5.8 Mw ,0,0,1,,,1
612,20-02-80 02:34,Italy ,39.291,16.152,8.2,4.8 ML ,0,1,,,,1
613,19-11-80 19:00,India ,27.392,88.795,38.5,6.3 Mw ,0,0,3,0,,3
614,30-11-80 07:41,Italy ,40.766,15.295,15.1,4.9 ML ,0,1,,,,1
615,18-02-81 08:28,South Africa ,-26.625,26.607,33,4.7 mb ,0,4,4,,,4
616,04-03-81 21:58,Greece ,38.197,23.3,14.9,6.2 Mw ,0,1,,,,1
617,10-03-81 15:16,Greece ,39.382,20.813,36.4,5.4 Mw ,0,2,2,2,,2
618,16-10-81 03:25,Chile ,-33.178,-73.033,44.9,7.1 Mw ,0,1,1,,,1
619,13-04-82 11:26,South Africa ,-27.926,26.783,5,5.0 mb ,0,1,1,,,1
620,13-02-83 01:40,China ,39.994,75.173,9,6.2 Mw ,0,0,1,,,1
621,25-02-83 18:22,Yugoslavia ,41.959,21.54,24,4.7 mb ,0,12,,12,,12
622,20-07-83 22:03,Italy ,37.502,15.151,33,4.4 mb ,0,1,,,,1
623,02-08-83 09:01,France ,49.15,6.698,0,3.5 ML ,0,1,1,,,1
624,25-01-84 19:36,United States ,47.5,-116,1,2.3 ML ,0,1,1,,,1
625,06-03-84 02:17,Japan ,29.372,138.871,459.1,7.4 Mw ,0,1,,,,1
626,22-04-84 17:39,Italy ,43.616,10.194,15,4.7 ML ,0,3,,,,3
627,11-05-84 10:41,Italy ,41.755,13.901,10.9,5.5 Mw ,0,3,,,,3
628,13-05-84 12:45,Bosnia and Herzegovina ,42.974,17.829,37,5.4 Mw ,0,1,1,,,1
629,20-06-84 14:12,Canada ,46.58,-80.8,1,3.4 Lg ,0,4,4,,,4
630,15-09-84 02:55,United States ,47.46,-115.987,1,2.8 ML ,0,1,,,,1
631,14-03-85 23:03,Italy ,41.631,14.263,14,4.3 ML ,0,1,,,,1
632,17-03-85 10:41,Chile  ,-32.712,-71.68,22,6.5 Mw ,0,1,,,,1
633,18-03-85 19:49,Philippines ,7.776,123.512,26.5,6.5 Mw ,0,2,,2,,2
634,09-04-85 01:56,Chile  ,-34.134,-71.535,38,7.1 Mw ,0,2,,,,2
635,12-03-86 16:32,United States ,47.47,-115.8,1,2.0 ML ,0,1,1,,,1
636,13-07-86 13:47,United States ,33.066,-117.84,15,5.8 Mw ,0,0,1,0,,1
637,18-07-86 17:22,Venezuela ,10.743,-69.424,8.3,5.4 Mw ,0,1,,1,,1
638,18-12-86 20:01,Poland ,50.304,19.235,10,2.8 ML ,0,3,3,,,3
639,22-01-87 05:10,Italy ,43.515,10.154,21,4.2 ML ,0,2,,,,2
640,08-02-87 18:33,Papua New Guinea ,-6.025,147.665,42.3,7.3 Mw ,0,3,3,1,,3
641,02-03-87 01:42,New Zealand  ,-38.015,176.921,15,6.5 Mw ,0,1,,1,,1
642,12-03-87 23:07,Poland ,51.369,20.206,10,2.6 ML ,0,3,3,,,3
643,02-05-87 20:43,Italy ,44.809,10.68,15,5.2 ML ,0,1,,,,1
644,18-06-87 10:01,Philippines ,17.324,121.353,13.9,5.9 Mw ,0,9,9,,,9
645,02-08-87 09:07,China ,25.002,115.566,11.2,4.9 mb ,0,0,3,0,,3
646,04-10-87 10:59,United States  ,34.02,-118.137,11.3,5.2 Mw ,0,1,,,,1
647,24-11-87 01:54,United States ,33.257,-115.756,15,6.0 Mw ,0,2,2,2,,2
648,05-01-88 06:41,South Africa ,-26.905,26.694,15,5.2 mb ,0,8,8,8,,8
649,11-02-88 15:25,United States ,34.08,-118.05,12,4.8 ML ,0,1,,,,1
650,10-08-88 04:38,Solomon Islands ,-10.32,160.933,34,7.5 Mw ,0,1,1,1,,1
651,02-09-88 07:26,Czech Republic ,49.886,18.489,10,3.8 ML ,0,3,3,,,3
652,10-03-89 14:14,Papua New Guinea ,-4.332,152.842,49.6,5.8 Mw ,0,1,1,,,1
653,27-05-89 20:08,Iran ,30.148,50.892,15,6.0 Mw ,0,0,,100,,100
654,26-06-89 03:27,United States Minor Outlying Islands ,19.417,-155.149,9,6.4 Mw ,0,0,,5,,5
655,01-08-89 00:18,Indonesia ,-4.48,138.983,14,6.1 Mw ,0,120,120,120,,120
656,22-09-89 02:25,China ,31.555,102.422,10.9,6.1 Mw ,0,0,1,0,,1
657,09-02-90 17:57,China ,31.745,120.982,11.9,5.0 mb ,0,0,2,,,2
658,05-05-90 07:21,Italy ,40.712,15.805,9.1,5.8 Mw ,0,2,,,,2
659,13-07-90 14:20,Afghanistan ,36.448,70.775,209.8,6.3 Mw ,0,43,43,,,43
660,26-09-90 23:08,South Africa ,-28.09,26.837,15,5.0 Mw ,0,2,2,,,2
661,18-10-90 09:30,South Africa ,-26.39,27.349,5,4.0 Lg ,0,10,10,10,,10
662,13-02-91 15:49,France ,44.885,6.76,5,3.8 ML ,0,9,9,,,9
663,25-03-91 18:02,China ,39.947,113.989,15,5.4 Mw ,0,0,1,,,1
664,03-05-91 20:19,Georgia ,42.68,43.245,3.7,5.6 Mw ,0,3,3,,,3
665,04-05-91 03:42,Panama ,9.547,-82.44,6.9,6.2 Mw ,0,0,2,0,,2
666,26-05-91 10:59,Malaysia ,5.858,116.652,48.6,5.1 mb ,0,1,,,,1
667,15-06-91 11:15,Philippines ,15.165,120.316,46.4,5.6 Mw ,0,137,,,,137
668,21-06-91 06:27,El Salvador ,13.408,-89.633,69.8,5.8 Mw ,0,1,1,,,1
669,14-02-92 17:28,South Africa ,-26.42,27.43,5,3.4 Lg ,0,4,4,,,4
670,07-03-92 01:53,Costa Rica ,10.228,-84.302,79,6.5 Mw ,0,1,,,,1
671,13-04-92 01:20,Netherlands ,51.181,5.844,18,5.4 Mw ,0,1,,1,,1
672,23-04-92 15:32,Burma ,22.407,98.848,7.9,6.1 Mw ,0,0,4,,,4
673,08-01-93 06:57,South Africa ,-28.028,26.8,5,2.7 ML ,0,6,6,,,6
674,26-03-93 11:58,Greece ,37.613,21.526,15,5.4 Mw ,0,0,,1,,1
675,22-06-93 16:32,Iran ,30.179,50.826,12.6,5.3 Mw ,0,0,,24,,24
676,11-10-93 15:54,Japan ,32.03,137.926,351,6.9 Mw ,0,1,,,,1
677,22-11-93 22:43,Nicaragua ,11.718,-86.084,112.6,5.9 Mw ,0,1,,,,1
678,30-11-93 20:37,China ,39.326,75.505,12.7,5.6 Mw ,0,0,2,,,2
679,26-05-94 08:26,Morocco ,35.25,-4.089,10,5.9 Mw ,0,0,2,,,2
680,01-09-94 07:11,South Africa ,-26.447,27.405,5,2.7 ML ,0,3,,,,3
681,03-02-95 15:26,United States ,41.488,-109.785,1,5.3 mb ,0,1,1,,,1
682,23-02-95 05:19,Taiwan ,24.233,121.706,43.6,6.2 Mw ,0,2,2,,,2
683,13-05-95 08:47,Greece ,40.144,21.718,14,6.6 Mw ,0,0,,26,,26
684,14-05-95 11:33,Indonesia ,-8.462,125.039,11,6.9 Mw ,0,11,11,,,11
685,25-06-95 06:59,Taiwan ,24.62,121.679,60.3,5.9 Mw ,0,1,1,,,1
686,19-12-95 20:56,Guatemala ,15.175,-90.171,15,5.3 Mw ,0,1,1,,,1
687,19-12-95 23:28,Indonesia ,-3.665,140.263,63,6.4 Mw ,0,2,2,,,2
688,21-02-96 12:51,Peru  ,-9.722,-79.868,15,7.5 Mw ,0,7,,,,7
689,14-08-96 01:55,Turkey ,40.697,35.293,25.8,5.7 Mw ,0,0,1,0,,1
690,22-01-97 17:57,Turkey ,36.199,35.902,46.1,5.7 Mw ,0,0,1,,,1
691,05-04-97 23:46,China ,39.525,76.83,15,5.9 Mw ,0,0,,9,,9
692,21-05-97 23:50,Spain ,42.83,-7.231,17.1,5.3 Mw ,0,1,,,,1
693,21-07-97 08:45,South Africa ,-26.857,26.619,5,5.0 mb ,0,15,15,15,,15
694,06-11-97 02:34,Canada ,46.771,-71.387,22.5,5.1 Lg ,0,1,1,,,1
695,30-01-98 12:16,Chile ,-23.85,-70.147,42,7.0 Mw ,0,1,,,,1
696,26-03-98 16:26,Italy ,43.224,12.919,10,5.4 Mw ,0,1,,,,1
697,12-04-98 10:55,Slovenia ,46.271,13.653,7.5,5.6 Mw ,0,1,,0,,1
698,17-07-98 08:49,Papua New Guinea  ,-2.946,142.52,23,7.0 Mw ,0,2683,2700,,,2700
699,29-07-98 07:14,Chile ,-32.327,-71.244,51,6.4 Mw ,0,2,,,,2
700,29-09-98 22:14,Serbia  ,44.203,20.094,15,5.5 Mw ,0,1,,0,,1
701,22-04-99 22:19,South Africa ,-27.953,26.679,6.5,5.7 mb ,0,2,2,,,2
702,04-06-99 09:12,Azerbaijan ,40.767,47.483,14,5.4 Mw ,0,0,,1,,1
703,07-11-99 16:54,Turkey ,40.695,30.724,16,4.9 Mw ,0,1,,,,1
704,26-01-00 20:55,China ,24.148,103.654,35,4.9 mb ,0,0,,1,,1
705,07-05-00 23:10,Turkey ,38.164,38.777,5,4.5 Md ,0,0,,1,,1
706,12-05-00 18:43,Argentina ,-23.754,-66.777,225,7.2 Mw ,0,1,1,,,1
707,10-06-00 18:23,Taiwan ,23.868,121.181,19,6.4 Mw ,0,2,,,,2
708,01-07-00 07:01,Japan ,34.222,139.171,12.5,6.1 Mw ,0,1,1,1,,1
709,07-07-00 00:15,Turkey ,40.857,29.344,7.8,4.2 Md ,0,1,,,,1
710,02-10-00 02:25,Tanzania ,-7.965,30.806,34,6.4 Mw ,0,0,,1,,1
711,08-11-00 06:59,Colombia ,7.091,-77.811,17,6.5 Mw ,0,0,,2,,2
712,28-02-01 18:54,United States  ,47.09,-122.581,54,6.8 Mw ,0,0,,1,,1
713,21-06-01 19:55,France ,49.147,6.87,1,4.2 ML ,0,1,1,,,1
714,17-07-01 15:06,Italy ,46.723,11.234,5.7,4.7 Mw ,0,4,3,,,4
715,22-01-02 04:53,Greece ,35.624,26.645,88,6.2 Mw ,0,1,,,,1
716,01-04-02 06:14,Papua New Guinea ,-6.231,147.545,81.4,5.3 Mw ,0,36,36,,,36
717,22-04-02 04:57,Peru ,-12.428,-76.578,64.9,4.4 mb ,0,1,,,,1
718,06-09-02 01:21,Italy ,38.335,13.728,13,5.9 Mw ,0,2,,,,2
719,21-01-03 02:46,Guatemala ,13.623,-90.85,24,6.4 Mw ,0,1,,,,1
720,25-03-03 02:53,Indonesia ,-8.339,120.606,34,6.4 Mw ,0,4,4,,,4
721,04-05-03 15:44,China ,39.305,77.142,10,5.8 Mw ,0,1,,1,,1
722,25-09-03 19:50,Japan ,41.864,143.878,27,8.3 Mw ,0,0,,2,,2
723,27-09-03 11:33,Russian Federation ,50.031,87.817,12.3,7.3 Mw ,0,3,,3,,3
724,01-05-04 07:56,Taiwan ,24.058,121.6,27.3,5.2 Mw ,0,2,,,,2
725,12-07-04 13:04,Slovenia ,46.305,13.628,7.3,5.2 Mw ,0,1,,1,,1
726,05-07-05 16:53,South Africa ,-26.468,27.435,5,2.7 ML ,0,1,,,,1
727,20-10-05 21:40,Turkey ,38.158,26.753,7.7,5.8 Mw ,0,1,,,,1
728,14-02-06 00:55,India ,27.382,88.388,30,5.3 Mw ,0,2,,,,2
729,14-03-06 06:57,Indonesia ,-3.595,127.214,30,6.7 Mw ,0,4,,4,,4
730,25-04-06 11:26,Australia,-41.164,146.863,4,2.2 ML ,0,1,,,,1
731,17-07-06 08:19,Indonesia  ,-9.254,107.411,34,7.7 Mw ,0,730,,,,730
732,22-07-06 01:10,China  ,27.995,104.138,55,4.9 Mw ,0,22,,22,,22
733,01-12-06 14:01,Indonesia ,-8.251,118.777,43,6.3 Mw ,0,1,,,,1
734,01-04-07 20:39,Solomon Islands,-8.43,157.06,10,8.1 Mw ,0,54,,,,54
735,21-04-07 17:53,Chile  ,-45.24,-72.67,36.7,6.2 Mw ,0,10,,10,,10
736,20-12-07 07:55,New Zealand  ,-39.011,178.291,20,6.6 Mw ,0,1,,,,1
737,24-05-08 19:20,Colombia ,4.33,-73.764,8,5.9 Mw ,0,6,,,,6
738,06-06-08 20:02,Algeria ,35.883,-0.658,4,5.5 Mw ,0,1,,,,1
740,12-07-00 06:25,Turkey ,40.3,43.1,,5.9 Muk ,,,140,,,140
743,31-03-01 07:11,Bulgaria ,43.4,28.7,,6.4 Muk ,,,4,,,4
745,15-11-01 20:15,New Zealand  ,-43,173,0,6.8 Ms ,,,1,,,1
746,30-01-02 14:01,Japan ,40.5,141.3,35,6.9 Ms ,,,1,,,1
747,13-02-02 09:39,Azerbaijan ,40.7,48.6,15,6.9 Muk ,,,86,,,86
748,09-03-02 07:46,Turkey ,40.7,33.6,,5.5 Muk ,,,4,,,4
749,19-04-02 02:23,Guatemala  ,14,-91,0,7.5 Mw ,,,2000,2000,,2000
752,19-09-02,Australia,-35,138,2,6.0 ML ,,,2,,,2
753,16-12-02 05:07,Uzbekistan ,40.8,72.3,9,6.4 Muk ,,,4725,,,4725
754,29-03-03 22:30,Judea and Samaria ,32.2,35.3,,5.7 Muk ,,,20,,,20
755,28-04-03,Turkey  ,39.14,42.65,,7.0 Ms ,,,,,3500,3500
756,28-05-03 03:58,Turkey ,40.9,42.7,,5.8 Muk ,,,1000,,,1000
757,11-08-03 04:32,Greece ,36.36,22.97,80,8.3 Muk ,,,2,,,2
758,25-09-03 01:20,Iran ,35.2,58.2,,6.5 Muk ,,,200,,,200
759,24-04-04 06:39,Taiwan ,23.5,120.5,,6.0 Muk ,,,3,,,3
760,11-08-04 05:56,Greece ,37.75,27,10,6.2 Muk ,,,4,,,4
761,30-08-04 11:42,China ,30,101,0,6.8 Ms ,,,565,,,565
762,05-11-04 20:25,Taiwan  ,23.5,120.3,,6.3 Muk ,,,145,,,145
763,04-04-05 00:50,India ,33,76,0,7.8 Mw ,,,20000,20000,,20000
764,01-06-05 04:42,Albania ,42.1,19.6,20,6.6 Muk ,,,120,,,120
765,02-06-05 05:39,Japan ,34.1,132.5,55,7.0 mb ,,,11,,,11
766,08-09-05 01:43,Italy  ,39,16,0,6.8 Ms ,,,557,2500,,2500
768,31-01-06 15:36,Ecuador  ,1,-81.5,0,8.8 Muk ,,,1000,400,,1000
769,16-03-06 22:42,Taiwan  ,23.6,120.4,5,6.8 Ms ,,,1258,,,1258
770,13-04-06 19:18,Taiwan ,23.6,120.4,5,7.1 MJMA ,,,15,,,15
771,18-04-06 13:12,United States  ,38,-123,0,7.8 Muk ,,,700,2000,,2000
772,17-08-06 00:40,Chile  ,-33,-72,0,8.2 Muk ,,,3760,20000,,20000
